Date,Market,TBonds,TBills,HML,SMB,MOM,GLCGX,DTMVX,DVPEX,TRBCX,Yahoo,Altria
2004-01-30,0.0231,0.0187,0.0007,0.0166,0.0261,0.0256,0.023,0.041,0.046,0.02,0.043,0.021
2004-02-27,0.0155,0.023,0.0006,0.0042,-0.0123,-0.0111,0.004,0.016,0.007,0.009,-0.056,0.035
2004-03-31,-0.0107,0.0141,0.0009,0.0002,0.0183,0.002,-0.012,0.009,0.01,-0.01,0.093,-0.042
2004-04-30,-0.0242,-0.0588,0.0008,-0.0179,-0.0249,-0.0535,-0.006,-0.04,-0.049,-0.022,0.042,0.017
2004-05-31,0.0141,-0.0051,0.0006,-0.0023,-0.0022,0.0164,0.015,0.005,0.009,0.017,0.214,-0.134
2004-06-30,0.0216,0.0121,0.0008,0.0179,0.0218,0.0208,0.015,0.051,0.033,0.016,0.187,0.058
2004-07-30,-0.0377,0.0155,0.001,0.0444,-0.0377,-0.0232,-0.058,-0.058,-0.065,-0.047,-0.154,-0.049
2004-08-31,0.0027,0.0395,0.0011,0.0095,-0.0147,-0.0155,0,-0.012,-0.019,-0.001,-0.074,0.028
2004-09-30,0.0206,0.0096,0.0011,0.0035,0.0282,0.0529,0.022,0.051,0.056,0.019,0.189,-0.025
2004-10-29,0.0178,0.0154,0.0011,-0.0098,0.0051,-0.0154,0.005,0.009,0.021,0.015,0.067,0.03
2004-11-30,0.0482,-0.0234,0.0015,0.0191,0.041,0.0324,0.047,0.097,0.07,0.042,0.04,0.186
2004-12-31,0.0352,0.025,0.0016,-0.0038,0.0016,-0.028,0.038,0.019,0.026,0.031,0.002,0.076
